"time","station","Cond","DOpct","Sal","Temp","Turb","pH",
2022-08-11 15:45:00.000 -0400,Alan,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-11 16:30:00.000 -0400,Alan,675.1,5.02,0.3,30.06,5.8,7.5
2022-08-11 16:45:00.000 -0400,Alan,719.4,3.68,0.32,30.08,2.95,7.36
2022-08-11 17:00:00.000 -0400,Alan,734.3,5.69,0.32,30.07,7.54,7.6
2022-08-11 17:15:00.000 -0400,Alan,730.9,15.65,0.32,30.0,3.4,7.72
2022-08-11 17:30:00.000 -0400,Alan,728.7,11.12,0.32,29.91,2.72,7.88
2022-08-11 17:45:00.000 -0400,Alan,729.7,4.5,0.32,29.8,2.03,7.99
2022-08-11 18:00:00.000 -0400,Alan,732.3,3.26,0.32,29.73,4.81,7.34
2022-08-11 18:15:00.000 -0400,Alan,731.0,3.24,0.32,29.66,3.12,7.37
2022-08-11 18:45:00.000 -0400,Alan,1111.0,38.81,0.53,26.95,302.9,6.73
2022-08-11 19:00:00.000 -0400,Alan,1112.0,3.98,0.53,26.48,304.9,6.67
2022-08-11 19:15:00.000 -0400,Alan,1121.0,3.3,0.54,26.43,99.5,6.67
2022-08-11 19:30:00.000 -0400,Alan,1117.0,3.26,0.54,26.37,181.1,6.68
2022-08-11 19:45:00.000 -0400,Alan,1112.0,3.24,0.53,26.33,91.2,6.67
2022-08-11 20:00:00.000 -0400,Alan,1120.0,3.24,0.54,26.3,64.08,6.67
2022-08-11 20:15:00.000 -0400,Alan,1083.0,3.24,0.52,26.27,156.0,6.67
2022-08-11 20:30:00.000 -0400,Alan,1125.0,3.23,0.54,26.22,48.86,6.65
2022-08-11 20:45:00.000 -0400,Alan,1115.0,3.23,0.54,26.19,53.63,6.65
2022-08-11 21:00:00.000 -0400,Alan,1165.0,3.24,0.56,26.09,48.55,6.66
2022-08-11 21:15:00.000 -0400,Alan,1117.0,3.23,0.54,26.11,48.18,6.65
2022-08-11 21:30:00.000 -0400,Alan,1042.0,3.23,0.5,26.0,43.51,6.65
2022-08-11 21:45:00.000 -0400,Alan,1044.0,3.22,0.5,25.99,45.59,6.65
2022-08-11 22:00:00.000 -0400,Alan,1059.0,3.23,0.51,25.94,43.05,6.64
2022-08-11 22:15:00.000 -0400,Alan,1071.0,3.22,0.52,25.93,33.48,6.63
2022-08-11 22:30:00.000 -0400,Alan,1008.0,3.22,0.49,25.83,45.21,6.64
2022-08-11 22:45:00.000 -0400,Alan,1014.0,3.21,0.49,25.87,42.9,6.63
2022-08-11 23:00:00.000 -0400,Alan,989.0,3.22,0.48,25.85,202.9,6.65
2022-08-11 23:15:00.000 -0400,Alan,1016.0,3.23,0.49,25.97,19.4,6.68
2022-08-11 23:30:00.000 -0400,Alan,988.0,3.22,0.48,25.94,1.44,6.68
2022-08-11 23:45:00.000 -0400,Alan,964.0,3.22,0.46,26.02,1.38,6.67
2022-08-12 00:00:00.000 -0400,Alan,968.0,3.21,0.47,25.93,1.44,6.65
2022-08-12 00:15:00.000 -0400,Alan,978.0,3.22,0.47,25.9,1.32,6.64
2022-08-12 00:30:00.000 -0400,Alan,951.0,3.2,0.46,25.87,1.24,6.65
2022-08-12 00:45:00.000 -0400,Alan,937.0,3.21,0.45,25.84,1.18,6.65
2022-08-12 01:00:00.000 -0400,Alan,939.0,3.22,0.45,25.88,1.18,6.66
2022-08-12 01:15:00.000 -0400,Alan,938.0,3.21,0.45,25.85,1.21,6.66
2022-08-12 01:30:00.000 -0400,Alan,926.0,3.2,0.45,25.8,1.19,6.66
2022-08-12 01:45:00.000 -0400,Alan,933.0,3.21,0.45,25.82,1.12,6.66
2022-08-12 02:00:00.000 -0400,Alan,924.0,3.22,0.45,25.86,1.22,6.67
2022-08-12 02:15:00.000 -0400,Alan,928.0,3.22,0.45,25.94,1.39,6.68
2022-08-12 02:30:00.000 -0400,Alan,927.0,3.2,0.45,25.97,1.28,6.68
2022-08-12 02:45:00.000 -0400,Alan,927.0,3.2,0.45,25.89,1.15,6.67
2022-08-12 03:00:00.000 -0400,Alan,920.0,3.21,0.44,25.85,1.59,6.68
2022-08-12 03:15:00.000 -0400,Alan,943.0,3.21,0.46,25.8,1.16,6.67
2022-08-12 03:30:00.000 -0400,Alan,906.0,3.2,0.44,25.69,1.02,6.67
2022-08-12 03:45:00.000 -0400,Alan,905.0,3.22,0.44,25.65,1.1,6.67
2022-08-12 04:00:00.000 -0400,Alan,900.0,3.21,0.44,25.64,1.1,6.67
2022-08-12 04:15:00.000 -0400,Alan,892.0,3.21,0.43,25.64,1.26,6.67
2022-08-12 04:30:00.000 -0400,Alan,925.0,3.22,0.45,25.62,1.13,6.67
2022-08-12 04:45:00.000 -0400,Alan,918.0,3.21,0.44,25.6,1.12,6.68
2022-08-12 05:00:00.000 -0400,Alan,896.0,3.21,0.43,25.64,1.39,6.68
2022-08-12 05:15:00.000 -0400,Alan,923.0,3.21,0.45,25.61,2.01,6.68
2022-08-12 05:30:00.000 -0400,Alan,892.0,3.21,0.43,25.57,1.59,6.68
2022-08-12 05:45:00.000 -0400,Alan,920.0,3.2,0.45,25.56,0.95,6.68
2022-08-12 06:00:00.000 -0400,Alan,898.0,3.21,0.43,25.58,1.11,6.68
2022-08-12 06:15:00.000 -0400,Alan,930.0,3.2,0.45,25.52,1.47,6.68
2022-08-12 06:30:00.000 -0400,Alan,923.0,3.2,0.45,25.51,1.27,6.68
2022-08-12 06:45:00.000 -0400,Alan,911.0,3.2,0.44,25.48,1.24,6.68
2022-08-12 07:00:00.000 -0400,Alan,965.0,3.21,0.47,25.49,2.27,6.69
2022-08-12 07:15:00.000 -0400,Alan,892.0,3.2,0.43,25.59,1.18,6.7
2022-08-12 07:30:00.000 -0400,Alan,879.0,3.2,0.43,25.59,1.11,6.71
2022-08-12 07:45:00.000 -0400,Alan,907.0,3.2,0.44,25.54,1.25,6.71
2022-08-12 08:00:00.000 -0400,Alan,921.0,3.22,0.45,25.5,347.4,6.71
2022-08-12 08:15:00.000 -0400,Alan,913.0,3.29,0.44,25.64,1.16,6.71
2022-08-12 08:30:00.000 -0400,Alan,891.0,3.21,0.43,25.5,1.28,6.71
2022-08-12 08:45:00.000 -0400,Alan,893.0,7.44,0.43,25.55,1.29,6.72
2022-08-12 09:00:00.000 -0400,Alan,924.0,3.21,0.45,25.57,1.1,6.72
2022-08-12 09:15:00.000 -0400,Alan,945.0,3.21,0.46,25.56,1.09,6.7
2022-08-12 09:30:00.000 -0400,Alan,958.0,3.21,0.47,25.47,1.23,6.69
2022-08-12 09:45:00.000 -0400,Alan,883.0,3.2,0.43,25.42,1.04,6.69
2022-08-12 10:00:00.000 -0400,Alan,887.0,3.21,0.43,25.37,1.18,6.7
2022-08-12 10:15:00.000 -0400,Alan,868.0,3.21,0.42,25.37,1.13,6.72
2022-08-12 10:30:00.000 -0400,Alan,864.0,3.2,0.42,25.33,1.09,6.72
2022-08-12 10:45:00.000 -0400,Alan,846.0,3.2,0.41,25.32,1.11,6.73
2022-08-12 11:00:00.000 -0400,Alan,868.0,3.2,0.42,25.21,1.15,6.74
2022-08-12 11:15:00.000 -0400,Alan,890.0,3.22,0.43,25.31,1.02,6.74
2022-08-12 11:30:00.000 -0400,Alan,920.0,3.2,0.45,25.36,1.04,6.75
2022-08-12 11:45:00.000 -0400,Alan,918.0,3.21,0.45,25.35,1.16,6.74
2022-08-12 12:00:00.000 -0400,Alan,880.0,3.2,0.43,25.23,1.03,6.75
2022-08-12 12:15:00.000 -0400,Alan,859.0,3.21,0.42,25.25,1.12,6.76
2022-08-12 12:30:00.000 -0400,Alan,857.0,3.2,0.42,25.25,1.6,6.78
2022-08-12 12:45:00.000 -0400,Alan,825.0,3.2,0.4,25.24,1.2,6.8
2022-08-12 13:00:00.000 -0400,Alan,826.0,3.2,0.4,25.17,0.99,6.8
2022-08-12 13:15:00.000 -0400,Alan,836.0,3.21,0.41,25.21,1.1,6.81
2022-08-12 13:30:00.000 -0400,Alan,825.0,16.26,0.4,25.47,1.06,6.82
2022-08-12 13:45:00.000 -0400,Alan,908.0,3.23,0.44,25.51,4.73,6.82
2022-08-12 14:00:00.000 -0400,Alan,938.0,3.19,0.46,25.37,1.03,6.79
2022-08-12 14:15:00.000 -0400,Alan,832.0,3.21,0.4,25.33,1.04,6.76
2022-08-12 14:30:00.000 -0400,Alan,797.1,3.2,0.39,25.42,0.95,6.75
2022-08-12 14:45:00.000 -0400,Alan,804.0,3.21,0.39,25.53,1.09,6.76
2022-08-12 15:00:00.000 -0400,Alan,806.0,6.64,0.39,25.66,1.02,6.78
2022-08-12 15:15:00.000 -0400,Alan,848.0,4.01,0.41,25.72,1.03,6.79
2022-08-12 15:30:00.000 -0400,Alan,903.0,3.25,0.44,25.65,1.35,6.76
